site_no	date_time	tz_cd	dd	accuracy_cd	value	prec	remark
15N	14N	6S	2N	5S	16N	1S	1S
02146750	19961001074000	EST	1	1	3330	3	
02146750	19961001074500	EST	1	1	3330	3	
02146750	19961001075000	EST	1	1	3320	3	
02146750	19961001075500	EST	1	1	3310	3	
02146750	19961001080000	EST	1	1	3310	3	
02146750	19961001080500	EST	1	1	3310	3	
02146750	19961001081000	EST	1	1	3300	3	
02146750	19961001081500	EST	1	1	3280	3	
02146750	19961001082000	EST	1	1	3280	3	
02146750	19961001082500	EST	1	1	3270	3	
02146750	19961001083000	EST	1	1	3260	3	
02146750	19961001083500	EST	1	1	3250	3	
02146750	19961001084000	EST	1	1	3250	3	
02146750	19961001084500	EST	1	1	3230	3	
02146750	19961001085000	EST	1	1	3220	3	
02146750	19961001085500	EST	1	1	3210	3	
02146750	19961001090000	EST	1	1	3200	3	
02146750	19961001090500	EST	1	1	3190	3	
02146750	19961001091000	EST	1	1	3180	3	
02146750	19961001091500	EST	1	1	3170	3	
02146750	19961001092000	EST	1	1	3160	3	
02146750	19961001092500	EST	1	1	3150	3	
02146750	19961001093000	EST	1	1	3150	3	
02146750	19961001093500	EST	1	1	3130	3	
02146750	19961001094000	EST	1	1	3120	3	
02146750	19961001094500	EST	1	1	3120	3	
02146750	19961001095000	EST	1	1	3100	3	
02146750	19961001095500	EST	1	1	3090	3	
02146750	19961001100000	EST	1	1	3090	3	
02146750	19961001100500	EST	1	1	3080	3	
02146750	19961001101000	EST	1	1	3060	3	
02146750	19961001101500	EST	1	1	3060	3	
02146750	19961001102000	EST	1	1	3050	3	
02146750	19961001102500	EST	1	1	3040	3	
02146750	19961001103000	EST	1	1	3030	3	
02146750	19961001103500	EST	1	1	3020	3	
02146750	19961001104000	EST	1	1	3010	3	
02146750	19961001104500	EST	1	1	3000	3	
02146750	19961001105000	EST	1	1	2990	3	
02146750	19961001105500	EST	1	1	2980	3	
02146750	19961001110000	EST	1	1	2970	3	
02146750	19961001110500	EST	1	1	2960	3	
02146750	19961001111000	EST	1	1	2950	3	
02146750	19961001111500	EST	1	1	2940	3	
02146750	19961001112000	EST	1	1	2920	3	
02146750	19961001112500	EST	1	1	2920	3	
02146750	19961001113000	EST	1	1	2900	3	
02146750	19961001113500	EST	1	1	2890	3	
02146750	19961001114000	EST	1	1	2880	3	
02146750	19961001114500	EST	1	1	2870	3	
02146750	19961001115000	EST	1	1	2860	3	
02146750	19961001115500	EST	1	1	2840	3	
02146750	19961001120000	EST	1	1	2830	3	
02146750	19961001120500	EST	1	1	2820	3	
02146750	19961001121000	EST	1	1	2800	3	
02146750	19961001121500	EST	1	1	2790	3	
02146750	19961001122000	EST	1	1	2780	3	
02146750	19961001122500	EST	1	1	2770	3	
02146750	19961001123000	EST	1	1	2750	3	
02146750	19961001123500	EST	1	1	2740	3	
02146750	19961001124000	EST	1	1	2720	3	
02146750	19961001124500	EST	1	1	2710	3	
02146750	19961001125000	EST	1	1	2690	3	
02146750	19961001125500	EST	1	1	2680	3	
02146750	19961001130000	EST	1	1	2670	3	
02146750	19961001130500	EST	1	1	2650	3	
02146750	19961001131000	EST	1	1	2640	3	
02146750	19961001131500	EST	1	1	2620	3	
02146750	19961001132000	EST	1	1	2610	3	
02146750	19961001132500	EST	1	1	2590	3	
02146750	19961001133000	EST	1	1	2580	3	
02146750	19961001133500	EST	1	1	2560	3	
02146750	19961001134000	EST	1	1	2550	3	
02146750	19961001134500	EST	1	1	2530	3	
02146750	19961001135000	EST	1	1	2510	3	
02146750	19961001135500	EST	1	1	2500	3	
02146750	19961001140000	EST	1	1	2490	3	
02146750	19961001140500	EST	1	1	2470	3	
02146750	19961001141000	EST	1	1	2450	3	
02146750	19961001141500	EST	1	1	2440	3	
02146750	19961001142000	EST	1	1	2420	3	
02146750	19961001142500	EST	1	1	2410	3	
02146750	19961001143000	EST	1	1	2390	3	
02146750	19961001143500	EST	1	1	2360	3	
02146750	19961001144000	EST	1	1	2350	3	
02146750	19961001144500	EST	1	1	2340	3	
02146750	19961001145000	EST	1	1	2320	3	
02146750	19961001145500	EST	1	1	2300	3	
02146750	19961001150000	EST	1	1	2280	3	
02146750	19961001150500	EST	1	1	2260	3	
02146750	19961001151000	EST	1	1	2250	3	
02146750	19961001151500	EST	1	1	2230	3	
02146750	19961001152000	EST	1	1	2200	3	
02146750	19961001152500	EST	1	1	2190	3	
02146750	19961001153000	EST	1	1	2170	3	
02146750	19961001153500	EST	1	1	2160	3	
02146750	19961001154000	EST	1	1	2140	3	
02146750	19961001154500	EST	1	1	2120	3	
02146750	19961001155000	EST	1	1	2100	3	
02146750	19961001155500	EST	1	1	2080	3	
02146750	19961001160000	EST	1	1	2060	3	
02146750	19961001160500	EST	1	1	2050	3	
02146750	19961001161000	EST	1	1	2030	3	
02146750	19961001161500	EST	1	1	2010	3	
02146750	19961001162000	EST	1	1	1990	3	
02146750	19961001162500	EST	1	1	1970	3	
02146750	19961001163000	EST	1	1	1960	3	
02146750	19961001163500	EST	1	1	1940	3	
02146750	19961001164000	EST	1	1	1920	3	
02146750	19961001164500	EST	1	1	1900	3	
02146750	19961001165000	EST	1	1	1890	3	
02146750	19961001165500	EST	1	1	1870	3	
02146750	19961001170000	EST	1	1	1860	3	
02146750	19961001170500	EST	1	1	1840	3	
02146750	19961001171000	EST	1	1	1820	3	
02146750	19961001171500	EST	1	1	1810	3	
02146750	19961001172000	EST	1	1	1790	3	
02146750	19961001172500	EST	1	1	1780	3	
02146750	19961001173000	EST	1	1	1760	3	
02146750	19961001173500	EST	1	1	1740	3	
02146750	19961001174000	EST	1	1	1720	3	
02146750	19961001174500	EST	1	1	1710	3	
02146750	19961001175000	EST	1	1	1690	3	
02146750	19961001175500	EST	1	1	1680	3	
02146750	19961001180000	EST	1	1	1660	3	
02146750	19961001180500	EST	1	1	1650	3	
02146750	19961001181000	EST	1	1	1640	3	
02146750	19961001181500	EST	1	1	1620	3	
02146750	19961001182000	EST	1	1	1600	3	
02146750	19961001182500	EST	1	1	1590	3	
02146750	19961001183000	EST	1	1	1580	3	
02146750	19961001183500	EST	1	1	1560	3	
02146750	19961001184000	EST	1	1	1550	3	
02146750	19961001184500	EST	1	1	1530	3	
02146750	19961001185000	EST	1	1	1520	3	
02146750	19961001185500	EST	1	1	1510	3	
02146750	19961001190000	EST	1	1	1500	3	
02146750	19961001190500	EST	1	1	1480	3	
02146750	19961001191000	EST	1	1	1470	3	
02146750	19961001191500	EST	1	1	1450	3	
02146750	19961001192000	EST	1	1	1440	3	
02146750	19961001192500	EST	1	1	1430	3	
02146750	19961001193000	EST	1	1	1420	3	
02146750	19961001193500	EST	1	1	1410	3	
02146750	19961001194000	EST	1	1	1390	3	
02146750	19961001194500	EST	1	1	1380	3	
02146750	19961001195000	EST	1	1	1370	3	
02146750	19961001195500	EST	1	1	1360	3	
02146750	19961001200000	EST	1	1	1340	3	
02146750	19961001200500	EST	1	1	1330	3	
02146750	19961001201000	EST	1	1	1320	3	
02146750	19961001201500	EST	1	1	1310	3	
02146750	19961001202000	EST	1	1	1300	3	
02146750	19961001202500	EST	1	1	1290	3	
02146750	19961001203000	EST	1	1	1280	3	
02146750	19961001203500	EST	1	1	1270	3	
02146750	19961001204000	EST	1	1	1250	3	
02146750	19961001204500	EST	1	1	1240	3	
02146750	19961001205000	EST	1	1	1230	3	
02146750	19961001205500	EST	1	1	1220	3	
02146750	19961001210000	EST	1	1	1210	3	
02146750	19961001210500	EST	1	1	1210	3	
02146750	19961001211000	EST	1	1	1200	3	
02146750	19961001211500	EST	1	1	1190	3	
02146750	19961001212000	EST	1	1	1180	3	
02146750	19961001212500	EST	1	1	1170	3	
02146750	19961001213000	EST	1	1	1160	3	
02146750	19961001213500	EST	1	1	1150	3	
02146750	19961001214000	EST	1	1	1140	3	
02146750	19961001214500	EST	1	1	1130	3	
02146750	19961001215000	EST	1	1	1120	3	
02146750	19961001215500	EST	1	1	1110	3	
02146750	19961001220000	EST	1	1	1100	3	
02146750	19961001220500	EST	1	1	1090	3	
02146750	19961001221000	EST	1	1	1080	3	
02146750	19961001221500	EST	1	1	1070	3	
02146750	19961001222000	EST	1	1	1060	3	
02146750	19961001222500	EST	1	1	1050	3	
02146750	19961001223000	EST	1	1	1040	3	
02146750	19961001223500	EST	1	1	1040	3	
02146750	19961001224000	EST	1	1	1030	3	
02146750	19961001224500	EST	1	1	1020	3	
02146750	19961001225000	EST	1	1	1020	3	
02146750	19961001225500	EST	1	1	1010	3	
02146750	19961001230000	EST	1	1	1000	3	
02146750	19961001230500	EST	1	1	996	3	
02146750	19961001231000	EST	1	1	987	3	
02146750	19961001231500	EST	1	1	979	3	
02146750	19961001232000	EST	1	1	970	3	
02146750	19961001232500	EST	1	1	961	3	
02146750	19961001233000	EST	1	1	948	3	
02146750	19961001233500	EST	1	1	940	3	
02146750	19961001234000	EST	1	1	927	3	
02146750	19961001234500	EST	1	1	915	3	
02146750	19961001235000	EST	1	1	902	3	
02146750	19961001235500	EST	1	1	890	3	
02146750	19961002000000	EST	1	1	874	3	
02146750	19961002000500	EST	1	1	861	3	
02146750	19961002001000	EST	1	1	845	3	
02146750	19961002001500	EST	1	1	834	3	
02146750	19961002002000	EST	1	1	822	3	
02146750	19961002002500	EST	1	1	810	3	
02146750	19961002003000	EST	1	1	798	3	
02146750	19961002003500	EST	1	1	787	3	
02146750	19961002004000	EST	1	1	776	3	
02146750	19961002004500	EST	1	1	764	3	
02146750	19961002005000	EST	1	1	753	3	
02146750	19961002005500	EST	1	1	738	3	
02146750	19961002010000	EST	1	1	724	3	
02146750	19961002010500	EST	1	1	713	3	
02146750	19961002011000	EST	1	1	698	3	
02146750	19961002011500	EST	1	1	688	3	
02146750	19961002012000	EST	1	1	670	3	
02146750	19961002012500	EST	1	1	660	3	
02146750	19961002013000	EST	1	1	646	3	
02146750	19961002013500	EST	1	1	633	3	
02146750	19961002014000	EST	1	1	619	3	
02146750	19961002014500	EST	1	1	610	3	
02146750	19961002015000	EST	1	1	600	3	
02146750	19961002015500	EST	1	1	590	3	
02146750	19961002020000	EST	1	1	577	3	
02146750	19961002020500	EST	1	1	565	3	
02146750	19961002021000	EST	1	1	555	3	
02146750	19961002021500	EST	1	1	543	3	
02146750	19961002022000	EST	1	1	534	3	
02146750	19961002022500	EST	1	1	522	3	
02146750	19961002023000	EST	1	1	510	3	
02146750	19961002023500	EST	1	1	495	3	
02146750	19961002024000	EST	1	1	484	3	
02146750	19961002024500	EST	1	1	472	3	
02146750	19961002025000	EST	1	1	461	3	
02146750	19961002025500	EST	1	1	453	3	
02146750	19961002030000	EST	1	1	442	3	
02146750	19961002030500	EST	1	1	432	3	
02146750	19961002031000	EST	1	1	422	3	
02146750	19961002031500	EST	1	1	412	3	
02146750	19961002032000	EST	1	1	399	3	
02146750	19961002032500	EST	1	1	392	3	
02146750	19961002033000	EST	1	1	382	3	
02146750	19961002033500	EST	1	1	373	3	
02146750	19961002034000	EST	1	1	361	3	
02146750	19961002034500	EST	1	1	352	3	
02146750	19961002035000	EST	1	1	343	3	
02146750	19961002035500	EST	1	1	334	3	
02146750	19961002040000	EST	1	1	327	3	
02146750	19961002040500	EST	1	1	321	3	
02146750	19961002041000	EST	1	1	314	3	
02146750	19961002041500	EST	1	1	306	3	
02146750	19961002042000	EST	1	1	298	3	
02146750	19961002042500	EST	1	1	291	3	
02146750	19961002043000	EST	1	1	281	3	
02146750	19961002043500	EST	1	1	275	3	
02146750	19961002044000	EST	1	1	269	3	
02146750	19961002044500	EST	1	1	263	3	
02146750	19961002045000	EST	1	1	260	3	
02146750	19961002045500	EST	1	1	254	3	
02146750	19961002050000	EST	1	1	250	3	
02146750	19961002050500	EST	1	1	246	3	
02146750	19961002051000	EST	1	1	243	3	
02146750	19961002051500	EST	1	1	237	3	
02146750	19961002052000	EST	1	1	234	3	
02146750	19961002052500	EST	1	1	228	3	
02146750	19961002053000	EST	1	1	227	3	
02146750	19961002053500	EST	1	1	225	3	
02146750	19961002054000	EST	1	1	221	3	
02146750	19961002054500	EST	1	1	218	3	
02146750	19961002055000	EST	1	1	215	3	
02146750	19961002055500	EST	1	1	211	3	
02146750	19961002060000	EST	1	1	210	3	
02146750	19961002060500	EST	1	1	207	3	
02146750	19961002061000	EST	1	1	203	3	
02146750	19961002061500	EST	1	1	203	3	
02146750	19961002062000	EST	1	1	203	3	
02146750	19961002062500	EST	1	1	202	3	
02146750	19961002063000	EST	1	1	202	3	
02146750	19961002063500	EST	1	1	197	3	
02146750	19961002064000	EST	1	1	192	3	
02146750	19961002064500	EST	1	1	188	3	
02146750	19961002065000	EST	1	1	185	3	
02146750	19961002065500	EST	1	1	182	3	
02146750	19961002070000	EST	1	1	179	3	
02146750	19961002070500	EST	1	1	177	3	
02146750	19961002071000	EST	1	1	176	3	
02146750	19961002071500	EST	1	1	173	3	
02146750	19961002072000	EST	1	1	171	3	
02146750	19961002072500	EST	1	1	170	3	
02146750	19961002073000	EST	1	1	167	3	
02146750	19961002073500	EST	1	1	165	3	
02146750	19961002074000	EST	1	1	164	3	
02146750	19961002074500	EST	1	1	161	3	
02146750	19961002075000	EST	1	1	160	3	
02146750	19961002075500	EST	1	1	158	3	
02146750	19961002080000	EST	1	1	155	3	
02146750	19961002080500	EST	1	1	154	3	
02146750	19961002081000	EST	1	1	154	3	
02146750	19961002081500	EST	1	1	154	3	
02146750	19961002082000	EST	1	1	154	3	
02146750	19961002082500	EST	1	1	154	3	
02146750	19961002083000	EST	1	1	154	3	
02146750	19961002083500	EST	1	1	154	3	
02146750	19961002084000	EST	1	1	154	3	
02146750	19961002084500	EST	1	1	154	3	
