site_no	date_time	tz_cd	dd	accuracy_cd	value	prec	remark
15N	14N	6S	2N	5S	16N	1S	1S
0214676115	20061001220000	EDT	2	1	87	2	
0214676115	20061001221500	EDT	2	1	86	2	
0214676115	20061001223000	EDT	2	1	85	2	
0214676115	20061001224500	EDT	2	1	84	2	
0214676115	20061001230000	EDT	2	1	84	2	
0214676115	20061001231500	EDT	2	1	84	2	
0214676115	20061001233000	EDT	2	1	83	2	
0214676115	20061001234500	EDT	2	1	83	2	
0214676115	20061002000000	EDT	2	1	83	2	
0214676115	20061002001500	EDT	2	1	83	2	
0214676115	20061002003000	EDT	2	1	82	2	
0214676115	20061002004500	EDT	2	1	82	2	
0214676115	20061002010000	EDT	2	1	83	2	
0214676115	20061002011500	EDT	2	1	83	2	
0214676115	20061002013000	EDT	2	1	83	2	
0214676115	20061002014500	EDT	2	1	84	2	
0214676115	20061002020000	EDT	2	1	84	2	
0214676115	20061002021500	EDT	2	1	84	2	
0214676115	20061002023000	EDT	2	1	84	2	
0214676115	20061002024500	EDT	2	1	84	2	
0214676115	20061002030000	EDT	2	1	84	2	
0214676115	20061002031500	EDT	2	1	84	2	
0214676115	20061002033000	EDT	2	1	83	2	
0214676115	20061002034500	EDT	2	1	83	2	
0214676115	20061002040000	EDT	2	1	82	2	
0214676115	20061002041500	EDT	2	1	82	2	
0214676115	20061002043000	EDT	2	1	82	2	
0214676115	20061002044500	EDT	2	1	82	2	
0214676115	20061002050000	EDT	2	1	82	2	
0214676115	20061002051500	EDT	2	1	81	2	
0214676115	20061002053000	EDT	2	1	81	2	
0214676115	20061002054500	EDT	2	1	82	2	
0214676115	20061002060000	EDT	2	1	81	2	
0214676115	20061002061500	EDT	2	1	82	2	
0214676115	20061002063000	EDT	2	1	81	2	
0214676115	20061002064500	EDT	2	1	82	2	
0214676115	20061002070000	EDT	2	1	82	2	
0214676115	20061002071500	EDT	2	1	82	2	
0214676115	20061002073000	EDT	2	1	83	2	
0214676115	20061002074500	EDT	2	1	83	2	
0214676115	20061002080000	EDT	2	1	82	2	
0214676115	20061002081500	EDT	2	1	81	2	
0214676115	20061002083000	EDT	2	1	80	2	
0214676115	20061002084500	EDT	2	1	80	2	
0214676115	20061002090000	EDT	2	1	78	2	
0214676115	20061002091500	EDT	2	1	77	2	
0214676115	20061002093000	EDT	2	1	77	2	
0214676115	20061002094500	EDT	2	1	78	2	
0214676115	20061002100000	EDT	2	1	78	2	
0214676115	20061002101500	EDT	2	1	78	2	
0214676115	20061002103000	EDT	2	1	77	2	
0214676115	20061002104500	EDT	2	1	75	2	
0214676115	20061002110000	EDT	2	1	72	2	
0214676115	20061002111500	EDT	2	1	70	2	
0214676115	20061002113000	EDT	2	1	67	2	
0214676115	20061002114500	EDT	2	1	65	2	
0214676115	20061002120000	EDT	2	1	64	2	
0214676115	20061002121500	EDT	2	1	64	2	
